C:\Users\adambyrn\source\repos\lighterFluid\lighterFluid\outputs\module.mtpl
Test Name, Template,BisrMode,bypass_global,BypassPort,ConfigurationFile,CtvCapturePins,CtvPins,descriptor_console,descriptor_ituff,descriptor_operation,descriptor_results,EnableRepair,EndVoltageLimits,Expression,FailCaptureCount,FailuresToCapturePerPattern,FailuresToCaptureTotal,FeatureSwitchSettings,function_name,function_parameter,fuse_module,LevelsTc,LookupTableConfigurationFile,MappingConfig,MaxFailuresPerPatternToItuff,MaxFailuresToItuff,MaxRepetitionCount,MbistTestMode,Patlist,PatternNameMap,RasterInputFile,ResultToken,ScoreboardBaseNumber,ScoreboardEdgeTicks,SetPoint,StartVoltages,StepSize,TestMode,TimingsTc,VoltageStepConfigFile,VoltageTargets,xml_config_file_path
SSA_CORE_VFDM_E_BEGIN_TITO_VCCSA_NOM_LFM_SC1PMUCR,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC1PMUCR_CORE0.vfdm.xml""",
SSA_CORE_VFDM_E_BEGIN_TITO_VCCSA_NOM_LFM_SC2PMUCR,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC2PMUCR_CORE0.vfdm.xml""",
SSA_CORE_VFDM_E_BEGIN_TITO_VCCSA_NOM_LFM_SC3PMUCR,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC3PMUCR_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC0RF0R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC0RF0R_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC1RF0R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC1RF0R_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC2RF0R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC2RF0R_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC3RF0R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC3RF0R_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC0RF1R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC0RF1R_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC1RF1R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC1RF1R_CORE0.vfdm.xml""",
LSA_CORE_VFDM_E_BEGIN_TITO_VCCIA_NOM_LFM_SC2RF1R,iCVFDMTest,,"""1""",,,,,"""LOCAL""","""ENABLE""","""REFRESH""","""ENABLE""",,,,,,,,,,"""ALL""",,,,,,,,,,,,,,,,,,,,,"""./Modules/ARR_COMMON/InputFiles/SC2RF1R_CORE0.vfdm.xml""",
